timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1529314145287,7,HTTP Request,200,OK,Thread Group 1-28,text,true,,2598,187,54,54,7,0,1
1529314145237,58,HTTP Request,200,OK,Thread Group 1-20,text,true,,2598,187,54,54,58,0,19
1529314145262,33,HTTP Request,200,OK,Thread Group 1-42,text,true,,2598,187,54,54,33,0,24
1529314145245,51,HTTP Request,200,OK,Thread Group 1-54,text,true,,2598,187,54,54,51,0,19
1529314145276,21,HTTP Request,200,OK,Thread Group 1-25,text,true,,2598,187,54,54,20,0,14
1529314145266,31,HTTP Request,200,OK,Thread Group 1-30,text,true,,2598,187,54,54,31,0,20
1529314145279,18,HTTP Request,200,OK,Thread Group 1-27,text,true,,2598,187,54,54,18,0,12
1529314145279,19,HTTP Request,200,OK,Thread Group 1-5,text,true,,2598,187,54,54,19,0,12
1529314145267,31,HTTP Request,200,OK,Thread Group 1-4,text,true,,2598,187,54,54,31,0,19
1529314145272,27,HTTP Request,200,OK,Thread Group 1-34,text,true,,2598,187,54,54,27,0,15
1529314145282,18,HTTP Request,200,OK,Thread Group 1-14,text,true,,2598,187,54,54,18,0,10
1529314145273,27,HTTP Request,200,OK,Thread Group 1-35,text,true,,2598,187,54,54,27,0,13
1529314145281,20,HTTP Request,200,OK,Thread Group 1-29,text,true,,2598,187,54,54,20,0,11
1529314145283,18,HTTP Request,200,OK,Thread Group 1-11,text,true,,2598,187,54,54,18,0,9
1529314145271,30,HTTP Request,200,OK,Thread Group 1-18,text,true,,2598,187,54,54,30,0,16
1529314145280,22,HTTP Request,200,OK,Thread Group 1-24,text,true,,2598,187,54,54,22,0,12
1529314145283,20,HTTP Request,200,OK,Thread Group 1-51,text,true,,2598,187,54,54,19,0,9
1529314145277,26,HTTP Request,200,OK,Thread Group 1-37,text,true,,2598,187,54,54,25,0,14
1529314145284,19,HTTP Request,200,OK,Thread Group 1-33,text,true,,2598,187,54,54,19,0,9
1529314145271,32,HTTP Request,200,OK,Thread Group 1-40,text,true,,2598,187,54,54,32,0,18
1529314145286,18,HTTP Request,200,OK,Thread Group 1-49,text,true,,2598,187,54,54,18,0,7
1529314145274,30,HTTP Request,200,OK,Thread Group 1-23,text,true,,2598,187,54,54,30,0,15
1529314145286,18,HTTP Request,200,OK,Thread Group 1-2,text,true,,2598,187,54,54,18,0,7
1529314145278,27,HTTP Request,200,OK,Thread Group 1-16,text,true,,2598,187,54,54,27,0,12
1529314145285,20,HTTP Request,200,OK,Thread Group 1-10,text,true,,2598,187,54,54,20,0,8
1529314145285,21,HTTP Request,200,OK,Thread Group 1-52,text,true,,2598,187,54,54,21,0,8
1529314145274,32,HTTP Request,200,OK,Thread Group 1-19,text,true,,2598,187,54,54,32,0,17
1529314145288,18,HTTP Request,200,OK,Thread Group 1-41,text,true,,2598,187,54,54,18,0,6
1529314145275,32,HTTP Request,200,OK,Thread Group 1-9,text,true,,2598,187,54,54,31,0,16
1529314145288,19,HTTP Request,200,OK,Thread Group 1-36,text,true,,2598,187,54,54,19,0,6
1529314145294,13,HTTP Request,200,OK,Thread Group 1-28,text,true,,2598,187,54,54,13,0,1
1529314145289,18,HTTP Request,200,OK,Thread Group 1-31,text,true,,2598,187,54,54,18,0,5
1529314145278,30,HTTP Request,200,OK,Thread Group 1-48,text,true,,2598,187,54,54,30,0,14
1529314145289,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2598,187,54,54,19,0,5
1529314145282,27,HTTP Request,200,OK,Thread Group 1-15,text,true,,2598,187,54,54,27,0,12
1529314145270,39,HTTP Request,200,OK,Thread Group 1-17,text,true,,2598,187,54,54,39,0,26
1529314145290,19,HTTP Request,200,OK,Thread Group 1-43,text,true,,2598,187,54,54,19,0,5
1529314145276,34,HTTP Request,200,OK,Thread Group 1-7,text,true,,2598,187,54,54,34,0,19
1529314145291,19,HTTP Request,200,OK,Thread Group 1-53,text,true,,2598,187,54,54,19,0,4
1529314145279,31,HTTP Request,200,OK,Thread Group 1-26,text,true,,2598,187,54,54,31,0,17
1529314145297,14,HTTP Request,200,OK,Thread Group 1-25,text,true,,2598,187,54,54,14,0,1
1529314145281,30,HTTP Request,200,OK,Thread Group 1-13,text,true,,2598,187,54,54,30,0,17
1529314145269,43,HTTP Request,200,OK,Thread Group 1-47,text,true,,2598,187,54,54,43,0,29
1529314145280,33,HTTP Request,200,OK,Thread Group 1-6,text,true,,2598,187,54,54,33,0,17
1529314145282,31,HTTP Request,200,OK,Thread Group 1-12,text,true,,2598,187,54,54,31,0,14
1529314145297,17,HTTP Request,200,OK,Thread Group 1-27,text,true,,2598,187,54,54,17,0,1
1529314145298,16,HTTP Request,200,OK,Thread Group 1-5,text,true,,2598,187,54,54,16,0,1
1529314145198,116,HTTP Request,200,OK,Thread Group 1-22,text,true,,2598,187,54,54,116,0,101
1529314145283,32,HTTP Request,200,OK,Thread Group 1-3,text,true,,2598,187,54,54,32,0,17
1529314145301,14,HTTP Request,200,OK,Thread Group 1-29,text,true,,2598,187,54,54,14,0,9
1529314145282,34,HTTP Request,200,OK,Thread Group 1-45,text,true,,2598,187,54,54,34,0,19
1529314145305,11,HTTP Request,200,OK,Thread Group 1-2,text,true,,2598,187,54,54,11,0,7
1529314145301,15,HTTP Request,200,OK,Thread Group 1-11,text,true,,2598,187,54,54,15,0,10
1529314145284,33,HTTP Request,200,OK,Thread Group 1-32,text,true,,2598,187,54,54,32,0,18
1529314145304,13,HTTP Request,200,OK,Thread Group 1-49,text,true,,2598,187,54,54,13,0,8
1529314145303,15,HTTP Request,200,OK,Thread Group 1-33,text,true,,2598,187,54,54,15,0,8
1529314145300,18,HTTP Request,200,OK,Thread Group 1-14,text,true,,2598,187,54,54,18,0,12
1529314145306,13,HTTP Request,200,OK,Thread Group 1-52,text,true,,2598,187,54,54,13,0,6
1529314145303,17,HTTP Request,200,OK,Thread Group 1-51,text,true,,2598,187,54,54,16,0,10
1529314145305,15,HTTP Request,200,OK,Thread Group 1-10,text,true,,2598,187,54,54,15,0,7
1529314145308,13,HTTP Request,200,OK,Thread Group 1-1,text,true,,2598,187,54,54,13,0,7
1529314145306,15,HTTP Request,200,OK,Thread Group 1-41,text,true,,2598,187,54,54,15,0,7
1529314145308,14,HTTP Request,200,OK,Thread Group 1-28,text,true,,2598,187,54,54,13,0,9
1529314145307,15,HTTP Request,200,OK,Thread Group 1-36,text,true,,2598,187,54,54,15,0,6
1529314145302,21,HTTP Request,200,OK,Thread Group 1-24,text,true,,2598,187,54,54,20,0,11
1529314145288,35,HTTP Request,200,OK,Thread Group 1-50,text,true,,2598,187,54,54,35,0,29
1529314145308,15,HTTP Request,200,OK,Thread Group 1-31,text,true,,2598,187,54,54,15,0,7
1529314145296,27,HTTP Request,200,OK,Thread Group 1-42,text,true,,2598,187,54,54,27,0,22
1529314145289,35,HTTP Request,200,OK,Thread Group 1-38,text,true,,2598,187,54,54,35,0,29
1529314145295,29,HTTP Request,200,OK,Thread Group 1-20,text,true,,2598,187,54,54,29,0,4
1529314145296,29,HTTP Request,200,OK,Thread Group 1-8,text,true,,2598,187,54,54,29,0,3
1529314145293,32,HTTP Request,200,OK,Thread Group 1-44,text,true,,2598,187,54,54,32,0,26
1529314145294,32,HTTP Request,200,OK,Thread Group 1-39,text,true,,2598,187,54,54,32,0,24
1529314145309,17,HTTP Request,200,OK,Thread Group 1-15,text,true,,2598,187,54,54,17,0,12
1529314145310,17,HTTP Request,200,OK,Thread Group 1-43,text,true,,2598,187,54,54,17,0,12
1529314145290,37,HTTP Request,200,OK,Thread Group 1-46,text,true,,2598,187,54,54,37,0,28
1529314145310,18,HTTP Request,200,OK,Thread Group 1-53,text,true,,2598,187,54,54,18,0,14
1529314145321,7,HTTP Request,200,OK,Thread Group 1-1,text,true,,2598,187,54,54,7,0,1
1529314145311,18,HTTP Request,200,OK,Thread Group 1-25,text,true,,2598,187,54,54,17,0,13
1529314145292,38,HTTP Request,200,OK,Thread Group 1-21,text,true,,2598,187,54,54,38,0,27
1529314145314,17,HTTP Request,200,OK,Thread Group 1-5,text,true,,2598,187,54,54,17,0,12
1529314145297,34,HTTP Request,200,OK,Thread Group 1-30,text,true,,2598,187,54,54,34,0,22
1529314145314,17,HTTP Request,200,OK,Thread Group 1-27,text,true,,2598,187,54,54,17,0,11
1529314145320,12,HTTP Request,200,OK,Thread Group 1-10,text,true,,2598,187,54,54,12,0,6
1529314145315,17,HTTP Request,200,OK,Thread Group 1-29,text,true,,2598,187,54,54,17,0,11
1529314145319,14,HTTP Request,200,OK,Thread Group 1-14,text,true,,2598,187,54,54,14,0,7
